title,location,stack,url
Senior Full-Stack Python and React Developer,віддалено,"['SQL', 'SOLID']",https://jobs.dou.ua/companies/tt/vacancies/235615/
Software/DevOps Engineer,віддалено,"['SQL', 'Flask', 'Docker', 'Curio']",https://jobs.dou.ua/companies/data-science-ua/vacancies/264323/
Middle strong/Senior Python developer (with React experience),"Київ, Львів, віддалено","['SQL', 'Django', 'CI/CD', 'OOP']",https://jobs.dou.ua/companies/techmagic/vacancies/264305/
Python Technical Lead in Intelligence Integration Team,віддалено,"['SQL', 'Django', 'FastAPI', 'SQLAlchemy', 'Celery', 'MySQL', 'MongoDB', 'SQLAlchemy', 'Docker', 'Kubernetes', 'Jenkins', 'Git', 'OOP', 'SOLID', 'Pytest', 'UnitTest', 'Requests']",https://jobs.dou.ua/companies/zone3000/vacancies/264296/
Middle Python Developer,віддалено,"['SQL', 'Django', 'Flask', 'MySQL', 'Git', 'CI/CD', 'REST']",https://jobs.dou.ua/companies/chi-software/vacancies/200400/
CTO,Рига (Латвія),['FastAPI'],https://jobs.dou.ua/companies/thewhykingz/vacancies/264253/
Senior Full Stack Developer (Python + React),віддалено,"['SQL', 'Django', 'Flask', 'REST']",https://jobs.dou.ua/companies/relevant-software/vacancies/264225/
Python Software Engineer,"Київ, віддалено","['SQL', 'MySQL', 'Docker', 'Kubernetes', 'REST']",https://jobs.dou.ua/companies/sps-ukraine/vacancies/264218/
Junior/Middle Python Developer (with C++ knowledge),"Київ, віддалено","['Git', 'GitLab']",https://jobs.dou.ua/companies/moduleworks-gmbh/vacancies/231597/
Junior / Middle Python Developer,Львів,,https://jobs.dou.ua/companies/smart-rockstars/vacancies/264086/
QA Automation Engineer (Networking),"Київ, Харків, Львів, Одеса, за кордоном, віддалено","['Ansible', 'Jenkins']",https://jobs.dou.ua/companies/plvision/vacancies/251628/
Middle Python engineer (#1577),"Київ, Львів, Дніпро, Вінниця, Івано-Франківськ, Тернопіль, віддалено","['SQL', 'MongoDB', 'REST']",https://jobs.dou.ua/companies/n-ix/vacancies/252149/
Senior Full Stack React/ Django Developer,"Київ, віддалено",['Django'],https://jobs.dou.ua/companies/delphi-llc/vacancies/263991/
Middle Full Stack React/ Node.js/ Python Developer,"Київ, віддалено","['SQL', 'MySQL', 'MongoDB', 'Docker']",https://jobs.dou.ua/companies/delphi-llc/vacancies/263986/
Senior Full Stack React/ Node.js/ Python Developer,"Київ, віддалено","['SQL', 'MySQL', 'MongoDB', 'Docker']",https://jobs.dou.ua/companies/delphi-llc/vacancies/263983/
Python Full Stack (AWS) Developer,"Київ, Львів, віддалено","['Git', 'OOP']",https://jobs.dou.ua/companies/nortal/vacancies/221101/
Full Stack Developer (Python+React),віддалено,"['SQL', 'Django', 'Git', 'SOLID', 'REST']",https://jobs.dou.ua/companies/codevog/vacancies/256486/
Full-Stack (React/Django) Developer,віддалено,"['Django', 'Celery', 'Docker', 'Git', 'Pytest', 'UnitTest', 'REST', 'Django REST']",https://jobs.dou.ua/companies/diatom-enterprises/vacancies/263918/
Python Developer (Mentor),віддалено,"['SQL', 'Django', 'Flask', 'SQLAlchemy', 'MySQL', 'SQLAlchemy', 'Docker', 'Git', 'OOP', 'REST', 'Django REST']",https://jobs.dou.ua/companies/foxminded/vacancies/176195/
Senior/Lead Python Developer (AWS platform),віддалено,"['SQL', 'GitHub', 'Git', 'SOLID', 'REST']",https://jobs.dou.ua/companies/ust/vacancies/263770/
Senior Python Software Engineer with Data Science experience,за кордоном,['SOLID'],https://jobs.dou.ua/companies/binariks/vacancies/253219/
Senior Python developer (EU located),"Братислава (Словаччина), віддалено","['FastAPI', 'Pandas', 'Docker', 'Git', 'Selenium', 'REST']",https://jobs.dou.ua/companies/altamira-ai/vacancies/263750/
Middle Python Engineer,"Cascais, Lisbon, Варшава (Польща), віддалено","['SQL', 'FastAPI', 'SQLAlchemy', 'Celery', 'MongoDB', 'RabbitMQ', 'SQLAlchemy', 'Alembic', 'Kubernetes']",https://jobs.dou.ua/companies/umbrelly-cloud/vacancies/263744/
"Data Scraping Specialist (startup, freelance/contract)",віддалено,"['Selenium', 'BeautifulSoup']",https://jobs.dou.ua/companies/jooble/vacancies/255169/
Python dev (part time),"за кордоном, віддалено","['Tornado', 'MongoDB', 'CircleCI', 'Git', 'REST']",https://jobs.dou.ua/companies/geozilla/vacancies/263684/
Full Stack Python/React Developer,"Чернівці, Івано-Франківськ","['Django', 'REST']",https://jobs.dou.ua/companies/uvik-software/vacancies/226708/
Middle Python Developer,"Київ, Одеса, віддалено","['Django', 'Flask', 'FastAPI', 'Pandas', 'NumPy', 'TensorFlow', 'PyTorch', 'Keras', 'OOP', 'REST', 'GraphQL']",https://jobs.dou.ua/companies/LanTec/vacancies/263651/
Middle Python Developer,"Київ, віддалено","['SQL', 'Django', 'Flask', 'Celery', 'MySQL', 'Docker', 'Kubernetes', 'Git', 'CI/CD', 'OOP', 'REST']",https://jobs.dou.ua/companies/kyivstar-tech/vacancies/263620/
Junior/Middle QA Automation (Python),"Гданськ (Польща), віддалено","['SQL', 'Git', 'CI/CD', 'OOP']",https://jobs.dou.ua/companies/quod-financial-ukraine/vacancies/215783/
Python Engineer (+Go) (#1575),"Київ, Львів, Дніпро, Вінниця, Івано-Франківськ, Тернопіль, віддалено","['SQL', 'Django', 'MySQL', 'Selenium']",https://jobs.dou.ua/companies/n-ix/vacancies/263610/
Backend Software Engineer,віддалено,"['Docker', 'Kubernetes', 'TeamCity', 'Jenkins', 'GitHub', 'Git', 'CI/CD', 'SOLID', 'REST']",https://jobs.dou.ua/companies/ftd-solutions-inc/vacancies/263596/
Python Software Engineer,віддалено,"['SQL', 'FastAPI', 'Celery', 'Redis', 'Docker', 'SOLID', 'Selenium']",https://jobs.dou.ua/companies/cx-dojo/vacancies/263581/
Junior Python Developer in Test (Apps),Київ,"['Jenkins', 'Git', 'Pytest', 'Selenium']",https://jobs.dou.ua/companies/ajax-systems/vacancies/219347/
Викладач/-ка курсу «Python Розробка»,"Київ, Харків, Львів, Одеса, Івано-Франківськ, віддалено","['SQL', 'Django', 'OOP']",https://jobs.dou.ua/companies/beetroot-academy/vacancies/222219/
Senior Backend Engineer (Python),"за кордоном, віддалено","['SQL', 'Django', 'Celery', 'Redis', 'MongoDB', 'RabbitMQ', 'Docker', 'Ansible', 'SOLID', 'AsyncIO']",https://jobs.dou.ua/companies/bcd-triptech/vacancies/255214/
Middle Full stack developer (Python+React.js),віддалено,"['SQL', 'Django', 'Flask', 'MySQL', 'MongoDB', 'Docker', 'SOLID', 'REST']",https://jobs.dou.ua/companies/luxe-quality/vacancies/263514/
Sr Full stack developer (Python+React.js),віддалено,"['SQL', 'Django', 'Flask', 'MySQL', 'MongoDB', 'Docker', 'SOLID', 'REST']",https://jobs.dou.ua/companies/luxe-quality/vacancies/263513/
Full-Stack (Python + React) Developer for an Online News Media,віддалено,"['SQL', 'MySQL', 'Docker', 'Git']",https://jobs.dou.ua/companies/flexmade/vacancies/263497/
Керівник відділу впровадження Odoo,віддалено,,https://jobs.dou.ua/companies/vseukrainski-sistemi-upravlinnya/vacancies/263489/
Python Developer,Дніпро,"['SQL', 'TensorFlow', 'PyTorch', 'Scikit-learn', 'Git']",https://jobs.dou.ua/companies/cleveroad/vacancies/263486/
Middle Python Developer,Дніпро,"['SQL', 'Docker', 'Kubernetes', 'Jenkins', 'REST']",https://jobs.dou.ua/companies/comparusua/vacancies/208689/
